Source,Target,Tweet Type
yhhoni,sayorijoestar,retweet
cabeyo_kcc_,henrymaldonado_,retweet
jinvictorious,alvoradagames,retweet
mariajudith_rme,jihonelfacundo,retweet
mythicburger,theoprogame11,reply
imsofcknhot,derrotdevi,retweet
aimansyahmi,tech_lagi,retweet
amlegend77,linustech,retweet
lordxderpy,linustech,retweet
cristctta,derrotdevi,retweet
_baxtos,derrotdevi,retweet
perszf1,derrotdevi,retweet
madameleshae,bolotacmcompota,retweet
addafathirah,tech_lagi,retweet
rzmnhkl_,tech_lagi,retweet
sadako96,davidalfonso205,retweet
roquelric,derrotdevi,retweet
lex6s,bruno_8893,retweet
guercloud,matheusdaring_,retweet
zulaimannn,tech_lagi,retweet
0gst1_,theorus_,retweet
leo_cavalini,derrotdevi,retweet
1tsp0tat0,bolotacmcompota,retweet
mamoudoubarryy,kulturegeekfr,retweet
dmi12aine,theorus_,retweet
vieirasz66,derrotdevi,retweet
nuvemmenino,andernics,retweet
giznotaco,pedroandre252,retweet
saulsan47973656,i_am_wildcat,retweet
rafiquedanish_,tech_lagi,retweet
looesee,derrotdevi,retweet
theluckyman43,i_am_wildcat,retweet
rafaelstrongue,linustech,retweet
acfa_16,derrotdevi,retweet
shawn_explicit,anauhts,retweet
_baxtos,andernics,retweet
hiu_ry,derrotdevi,retweet
auguxtkkjj,derrotdevi,retweet
joao_ootaku,talvezricas,retweet
titi63375579,eusouosena,retweet
2601manish,verge,retweet
maxofs0,haalo1231,retweet
recjulien,carlito__22,retweet
joseand72508653,sayorijoestar,retweet
alissonwinn,derrotdevi,retweet
badweed16,jordanstronger7,retweet
x_socra,talvezricas,retweet
jjdizz1l,verge,retweet
laranjjei,willymouram,retweet
saltycarl___v2,sayorijoestar,retweet
iamlinaaaa,tech_lagi,retweet
jzambra7,porquetendencia,retweet
madameleshae,iam_johnw,retweet
shawn_explicit,puts_caii,retweet
willbent7,tech_lagi,retweet
shawn_explicit,lucasrocha365,retweet
iustforhurts,badhouis,reply
dannystarboy26,i_am_wildcat,retweet
_moralucas,porquetendencia,retweet
alves793,g1,retweet
cmplecxer1,theorus_,retweet
calebh08428104,i_am_wildcat,retweet
itwothrones,i_am_wildcat,retweet
angelqrz62angel,davidalfonso205,retweet
gabvsr,talvezricas,retweet
princesabriina,derrotdevi,retweet
nyrfan331_yt,i_am_wildcat,retweet
yashforlife,i_am_wildcat,retweet
imsofcknhot,eusouosena,retweet
rudyx115x,i_am_wildcat,retweet
rui10filipe,eusouosena,retweet
itsmeabmaex,sayorijoestar,retweet
princesabriina,andernics,retweet
jayson_nugg,shavkenazine,retweet
itsmealbinoo,andernics,retweet
amileinad,kdutheviw,retweet
phiondia,theorus_,retweet
frankielrussell,bolotacmcompota,retweet
sofria_luize,derrotdevi,retweet
stalkerdatuatl,eusouosena,retweet
sarinhazanella,lucassbivar,retweet
maiguelchikitin,sayorijoestar,retweet
chicagobh4yt,i_am_wildcat,retweet
stellaasb,diego1santos4,retweet
mayraainsfran,porquetendencia,retweet
zulhilmihafiz,linustech,retweet
moutainman24,i_am_wildcat,retweet
vulgogut,derrotdevi,retweet
officiallucasgt,lucasrocha365,retweet
norelphy,elfikuwtf,reply
mrcroissant5,nebkbm,reply
tremcain,talvezricas,retweet
everivers27,videogamedeals,retweet
rosevisk,poxarog,retweet
gianco911,porquetendencia,retweet
o_ondeswag,ayrtonytomasi,retweet
bryantchappel,thenerfreport,retweet
lukasclaudio,derrotdevi,retweet
mundorapbrasil,rapmais,retweet
pedro_viee,derrotdevi,retweet
ritalynnna,derrotdevi,retweet
vulgogut,talvezricas,retweet
amne_arts,theorus_,retweet
andreandwims,y_hergalana,reply
dj_brandal,linustech,retweet
mahhk12,derrotdevi,retweet
o_ondeswag,navarreteytzel,retweet
is4bellinda,imthedouglas,retweet
nalauraaw,g1,retweet
hanisvziz,matheusdaring_,retweet
temp__98,sayorijoestar,retweet
toxicalan1,carlosveins,retweet
edmuss1,linustech,retweet
deraffles,tech_lagi,retweet
jose1andres1ml,linustech,retweet
ryo_psyc,bolotacmcompota,retweet
redhuanamar,iam_johnw,retweet
matou70200,riccio_valerio,retweet
anadulset,tech_lagi,retweet
wppwwppw2,g1,retweet
geistgroen,derrotdevi,retweet
sharlottegg,epicgames,retweet
sharlottegg,rockstargames,retweet
anapalitoclara,alvoradagames,retweet
olipesoares,moonlightmuh,retweet
titi63375579,willymouram,retweet
gsadbrown,i_am_wildcat,retweet
aceventure94,linustech,retweet
eikipchi_renard,matheusdaring_,retweet
lordhendricksen,theorus_,retweet
uriken94vtr,theorus_,retweet
infernonantesco,alvoradagames,retweet
whosigor_,andernics,retweet
dacoolface,klimqx,reply
dacoolface,pcgamer,retweet
bubuuaz_stb,lilxdiego,retweet
gabriel_zapa,g1,retweet
figatomas,eusouosena,retweet
gustavostinglin,derrotdevi,retweet
evereuhh,theorus_,retweet
bolinho012,talvezricas,retweet
jv_dm_,rzzy1407,retweet
pietrodmaximof1,derrotdevi,retweet
ghostfriiend,lucasrocha365,retweet
jimshamsul,tech_lagi,retweet
p3karlos,andernics,retweet
cidiineidogta,talvezricas,retweet
acostajuancruz1,porquetendencia,retweet
zabl404,derrotdevi,retweet
gilbertocamelo_,lucassbivar,retweet
gustavo_petry1,derrotdevi,retweet
bl3_fan_,verge,retweet
la_doublure7,theorus_,retweet
custyboss,i_am_wildcat,retweet
iqmalhakimizz,linustech,retweet
thefatinialias,tech_lagi,retweet
d4mk30,lucasrocha365,retweet
alvarorfer94,miyawakidinades,retweet
zexpectro,derrotdevi,retweet
tomialonso25,porquetendencia,retweet
ericpazbueno,derrotdevi,retweet
blacktilte,lucassbivar,retweet
_baxtos,skibidih,retweet
arabianpeach,bruhitsbigsam,retweet
bubbleicious13,linustech,retweet
gwondr,vraxooo,retweet
sthudaoso679177,gameusealien,retweet
marinamchd,derrotdevi,retweet
angieju57104725,favsalchipapa,retweet
konbunkonb,engadgetjp,retweet
lajzer555,bolotacmcompota,retweet
gustavostinglin,talvezricas,retweet
arief_mustianto,verge,retweet
