Source,Target,Tweet Type
juliusdjimon,callofdutyuk,reply
engine144hz,callofdutyfr,reply
joshywoosh,threeuk,reply
sachaabr,callofdutyfr,reply
benlkeenan,callofdutyuk,reply
sroxas2,nvidiageforcees,reply
anderconsu,nvidiageforcees,reply
tommarett,callofdutyuk,reply
univsalgaming,nvidiageforceuk,reply
65ig65,callofdutyuk,reply
napoellis,callofdutyuk,reply
silencecurse,callofdutyes,reply
antizaaa,callofdutyfr,reply
ivnvega_11,callofdutyuk,reply
thecountshakula,nvidiageforceuk,reply
kvnxcvi,callofdutyuk,reply
juanitod77,astrogaming,reply
gueldi__01,callofdutyde,reply
virshan666,cobrar44,reply
foxx_bb,threeuk,reply
agrid_lesbian,callofdutyfr,reply
brandontacon,nvidiageforceuk,reply
leandreg5,scuffrance,reply
guayomedina,astrogaming,reply
turistovic,scuffrance,reply
doll_ax,callofdutyuk,reply
alvin2quick,callofdutyuk,reply
jesuslambszn_,kontrolfreek,reply
flyingsnerz,stormy_fm,reply
felix_mw2001,astrogaming,reply
clovdtay,astrogaming,reply
united_mickey,callofdutyuk,reply
joshm_jones,callofdutyuk,reply
_crack_boi_,threeuk,reply
rub3nmw3,charlieintel,reply
ktheofilopoulos,astrogaming,reply
hamster_oh,nvidiageforcefr,reply
toad617,nvidiageforcefr,reply
ghostlyroyale,astrogaming,reply
hallowkaz,callofdutyuk,reply
mammothmango,papajohnsuk,reply
541554151jj,callofdutyfr,reply
liquidus00,nvidiageforcefr,reply
flyingsnerz,nvidiageforcede,reply
jilemepd,callofdutyfr,reply
valdringameryt,callofdutyfr,reply
nickyoungmvp1,callofdutyuk,reply
hattie_mi6,callofdutyfr,reply
s6scarter,callofdutyuk,reply
cdc_plays,nvidiageforceuk,reply
its_ishyy,callofdutyuk,reply
amiralisaeedi8,callofdutyuk,reply
smebodyg,kontrolfreek,reply
langio64,callofdutyfr,reply
opaillet,nvidiageforcefr,reply
lvque14,scuffrance,reply
helljumper118,astrogaming,reply
w__selene,callofdutyfr,reply
tiger_nemesis,astrogaming,reply
malakye_s,kontrolfreek,reply
wickedsarah_,astrogaming,reply
pasdidfirst,nvidiageforcefr,reply
lifelessshutin,astrogaming,reply
sroxas2,nvidiageforcees,reply
dominilicous,astrogaming,reply
mikalow01,reiidlos,reply
mcreaaa,callofdutyuk,reply
oscarpitti,kontrolfreekes,reply
foxx_bb,papajohnsuk,reply
lopinto1976,leftcheats,reply
romanrripper,callofdutyuk,reply
lvathan_,callofdutyuk,reply
zackyoxall,callofdutyuk,reply
obscurepaulie92,callofdutyuk,reply
jlc_fn,callofdutyuk,reply
maximechoubi,callofdutyfr,reply
alexhoessle91,callofdutyuk,reply
_clem0309_,nvidiageforcefr,reply
lanceer94,mrxsoki,reply
rasa_libre_sk8r,astrogaming,reply
mikitperse,callofdutyfr,reply
myosiris_eei7,astrogamingfr,reply
aramsey262,astrogaming,reply
angelg121817,kontrolfreek,reply
thankyou_fax,callofdutyuk,reply
gamerprobz44,callofdutyuk,reply
eharris__,inciose_,reply
onio_tna,nvidiageforceuk,reply
1kingval,kontrolfreek,reply
ksilva_23,kontrolfreek,reply
sachaabr,scuffrance,reply
illusionstwice,callofdutyuk,reply
lvque14,scuffrance,reply
mrwarren0,nvidiageforceuk,reply
natxss,nvidiageforcefr,reply
bronsonhiatt,kontrolfreek,reply
deathmonk92,callofdutyuk,reply
ellolo261,nvidiageforcefr,reply
ps4ark,callofdutyuk,reply
shang998,callofdutyes,reply
ruffandtough40,kontrolfreek,reply
greg_rpl,nvidiageforcefr,reply
kyosuke953,callofdutyfr,reply
phishinma,nvidiageforceuk,reply
tamireilon1,callofdutyuk,reply
erniegang01,threeuk,reply
jucodevo,callofdutyfr,reply
voltgamingoff,callofdutyfr,reply
eeramzplayz,kontrolfreek,reply
jlnour1,callofdutyfr,reply
cxmi11e,nvidiageforcefr,reply
karijoy1,nvidiageforcefr,reply
papamiggs26,callofdutyuk,reply
_clem0309_,scuffrance,reply
myosiris_eei7,callofdutyuk,reply
zoom928,astrogaming,reply
jaffajake_23,astrogaming,reply
mialovesross,threeuk,reply
xbuddz,astrogamingde,reply
karijoy1,callofdutyfr,reply
idioticlake01,kontrolfreek,reply
delttaz,astrogaming,reply
graemeacarlson,astrogaming,reply
caramason3,boohooman,reply
samblp,nvidiageforcefr,reply
calluminium1,callofdutyuk,reply
f0xdie,nvidiageforcefr,reply
kieranadams07,threeuk,reply
jucodevo,scuffrance,reply
liamlightboxfox,callofdutyuk,reply
blackeysbeats,backyardbully,reply
ant0ni0jurad0,callofdutyes,reply
caronkelian,nvidiageforcefr,reply
noah3567_,callofdutyde,reply
wazewawa1,astrogamingfr,reply
andy_higham_,callofdutyuk,reply
libra64_,nvidiageforcefr,reply
forest29,kontrolfreek,reply
le_dervid,nvidiageforcefr,reply
1fachdavid,nvidiageforcede,reply
valdringameryt,scuffrance,reply
lebronsmyuncle,astrogaming,reply
ladylacyc,nvidiageforceuk,reply
shritzcoin,astrogamingfr,reply
xbuddz,callofdutyde,reply
alife59,astrogaming,reply
scykik,astrogaming,reply
crazykev83,threeuk,reply
sswenty_,nvidiageforcefr,reply
papaiia10,nvidiageforcefr,reply
theonlyalisonl,callofdutyuk,reply
barefootgypsy92,astrogaming,reply
marc_sheesh,callofdutyde,reply
sandy_waldorf,callofdutyfr,reply
elialemaine,scuffrance,reply
raptorkyt,threeuk,reply
midnight4k,callofdutyuk,reply
flobinhooo_,nvidiageforcefr,reply
jordannsmiith,callofdutyuk,reply
foxx_bb,callofdutyuk,reply
nathaeltanghe,callofdutyfr,reply
mrstephenlong,kontrolfreek,reply
erniegang01,threeuk,reply
teddyducro,callofdutyfr,reply
celsity_,callofdutyuk,reply
